CarKey, Car Make , Car Model   , Year , Body Type , Color Options                 , Fuel Type , Safety Features                                      , Entertainment Features               , Interior Features                                , Exterior Features                                           
2022ToyotaCamry,Toyota,Camry,2022, Sedan     ," White, Silver, Black          ", Gasoline  ," ABS, Airbags, Lane-Keeping Assist, Blind Spot Monitor ", 8-inch Touchscreen Infotainment System ," Leather Seats, Power Driver's Seat, Dual-Zone Climate Control "," LED Headlights, Alloy Wheels, Sunroof                       "
2023FordF-150,Ford,F-150,2023, Truck     ," Blue, Red, Gray               ", Gasoline  ," ABS, Airbags, Trailer Sway Control, Rear View Camera  ", 12-inch SYNC 4 Infotainment System   ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Taillights, Tow Hitch, Bed Liner                        "
2023HondaCivic,Honda,Civic,2023, Sedan     ," Black, Blue, Silver           ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Rear Cross Traffic Alert ", 7-inch Display Audio System       ," Cloth Seats, Bluetooth Connectivity, Push Button Start   "," LED Daytime Running Lights, Alloy Wheels                   "
2023ChevroletTahoe,Chevrolet,Tahoe,2023, SUV       ," Red, White, Gray              ", Gasoline  ," ABS, Airbags, Forward Collision Warning, Lane Keep Assist ", 10.2-inch Infotainment System      ," Leather Seats, Heated Front Seats, Third-Row Seating     "," LED Headlights, Roof Rails, Power Liftgate                 "
2023NissanRogue,Nissan,Rogue,2023, SUV       ," Green, Black, White           ", Gasoline  ," ABS, Airbags, Blind Spot Warning, Rear Cross Traffic Alert ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Dual-Zone Climate Control     "," LED Taillights, Roof Rails, Power Liftgate                 "
2022BMWX5,BMW,X5,2022, SUV       ," Black, Gray, Blue             ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Parking Assist     ", 12.3-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Panoramic Sunroof      "," LED Headlights, Roof Rails, 20-inch Alloy Wheels          "
2023HyundaiSonata,Hyundai,Sonata,2023, Sedan     ," Red, Silver, White            ", Gasoline  ," ABS, Airbags, Forward Collision Warning, Lane Keeping Assist ", 10.25-inch Touchscreen Display    ," Leather Seats, Power Driver's Seat, Push Button Start     "," LED Daytime Running Lights, Alloy Wheels                   "
2023FordMustang,Ford,Mustang,2023, Coupe     ," Yellow, Black, Red            ", Gasoline  ," ABS, Airbags, Traction Control, Electronic Stability Control ", 12-inch SYNC 4 Infotainment System  ," Leather Seats, Power Driver's Seat, Ambient Lighting        "," LED Headlights, Rear Spoiler, Dual Exhaust                 "
2023ToyotaRAV4,Toyota,RAV4,2023, SUV       ," Blue, Silver, Green           ", Gasoline  ," ABS, Airbags, Lane Tracing Assist, Blind Spot Monitoring  ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Dual-Zone Climate Control     "," LED Daytime Running Lights, Roof Rails                   "
2023AudiA4,Audi,A4,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 10.1-inch MMI Touchscreen Display  ," Leather Seats, Heated Front Seats, Tri-Zone Climate Control "," LED Headlights, Sunroof, 18-inch Alloy Wheels              "
2023GMCSierra,GMC,Sierra,2023, Truck     ," Red, Black, White             ", Gasoline  ," ABS, Airbags, Trailer Brake Control, Rear View Camera    ", 12.3-inch Infotainment System      ," Leather Seats, Heated Front Seats, Power Tailgate         "," LED Taillights, Tow Hitch, 20-inch Alloy Wheels           "
2023HondaCR-V,Honda,CR-V,2023, SUV       ," Gray, Blue, Silver            ", Gasoline  ," ABS, Airbags, Collision Mitigation, Lane Keeping Assist ", 8-inch Display Audio System       ," Cloth Seats, Bluetooth Connectivity, Power Sunroof        "," LED Daytime Running Lights, Roof Rails                   "
2023SubaruOutback,Subaru,Outback,2023, Wagon     ," Green, Black, Gray            ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 11.6-inch Touchscreen Display    ," Leather Seats, Heated Front Seats, Power Liftgate          "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023ChevroletCamaro,Chevrolet,Camaro,2023, Coupe     ," Red, Black, Yellow            ", Gasoline  ," ABS, Airbags, Traction Control, StabiliTrak             ", 9-inch Infotainment System       ," Leather Seats, Heated and Ventilated Front Seats          "," LED Headlights, Rear Spoiler, 20-inch Alloy Wheels        "
2023FordEscape,Ford,Escape,2023, SUV       ," Blue, White, Gray             ", Gasoline  ," ABS, Airbags, Lane Keeping Assist, Rear View Camera     ", 10.1-inch SYNC 3 Infotainment System ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Taillights, Roof Rails, 18-inch Alloy Wheels           "
2023MazdaCX-5,Mazda,CX-5,2023, SUV       ," Red, Silver, Black            ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 10.25-inch Infotainment Display   ," Leather Seats, Heated Front Seats, Power Sunroof          "," LED Headlights, Roof Rails, 19-inch Alloy Wheels           "
2023KiaSorento,Kia,Sorento,2023, SUV       ," Silver, Black, Blue           ", Gasoline  ," ABS, Airbags, Forward Collision Warning, Rear View Camera  ", 8-inch Touchscreen Display        ," Leather Seats, Heated Front Seats, Power Tailgate          "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023MercedesC-Class,Mercedes,C-Class,2023, Sedan     ," Black, Blue, White            ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 12.3-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Panoramic Sunroof      "," LED Headlights, Alloy Wheels, Power Trunk                "
2023JeepWrangler,Jeep,Wrangler,2023, SUV       ," Gray, Green, Red              ", Gasoline  ," ABS, Airbags, Hill Start Assist, Electronic Roll Mitigation ", 8.4-inch Uconnect Infotainment     ," Cloth Seats, Keyless Entry, Removable Top                  "," LED Headlights, Tow Hooks, 17-inch Alloy Wheels            "
2023VolkswagenJetta,Volkswagen,Jetta,2023, Sedan     ," White, Black, Silver          ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear View Camera        ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, 16-inch Alloy Wheels                       "
2023VolvoXC60,Volvo,XC60,2023, SUV       ," Silver, White, Gray           ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Blind Spot Monitoring ", 9-inch Touchscreen Display        ," Leather Seats, Heated Front Seats, Panoramic Sunroof       "," LED Headlights, Roof Rails, 19-inch Alloy Wheels           "
2023SubaruForester,Subaru,Forester,2023, SUV       ," Black, Red, Blue              ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Keyless Entry                 "," LED Daytime Running Lights, Roof Rails, 17-inch Alloy Wheels "
2023ToyotaHighlander,Toyota,Highlander,2023, SUV       ," White, Silver, Black          ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Blind Spot Monitoring ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023FordExplorer,Ford,Explorer,2023, SUV       ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023ChevroletCorvette,Chevrolet,Corvette,2023, Coupe     ," Red, Black, White             ", Gasoline  ," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         "
2023FordExpedition,Ford,Expedition,2023, SUV       ," Blue, White, Silver           ", Gasoline  ," ABS, Airbags, Blind Spot Information System, Rear Cross Traffic Alert ", 12.3-inch SYNC 4 Infotainment System  ," Leather Seats, Heated Front Seats, Power Fold Third-Row Seats "," LED Headlights, Roof Rails, 22-inch Alloy Wheels          "
2023HyundaiTucson,Hyundai,Tucson,2023, SUV       ," Silver, Gray, Black           ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Rear View Camera ", 10.25-inch Touchscreen Display   ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Daytime Running Lights, 17-inch Alloy Wheels           "
2023GMCYukon,GMC,Yukon,2023, SUV       ," Black, White, Gray            ", Gasoline  ," ABS, Airbags, Lane Keep Assist, Blind Zone Alert            ", 10.2-inch Infotainment Display     ," Leather Seats, Heated Front Seats, Power Tailgate         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023AudiQ5,Audi,Q5,2023, SUV       ," Gray, Blue, Black             ", Gasoline  ," ABS, Airbags, Audi Pre Sense City, Lane Departure Warning   ", 10.1-inch MMI Touchscreen Display ," Leather Seats, Heated Front Seats, Panoramic Sunroof      "," LED Headlights, 18-inch Alloy Wheels                      "
2023KiaTelluride,Kia,Telluride,2023, SUV       ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance Assist, Blind Spot View Monitor ", 12.3-inch Touchscreen Display    ," Leather Seats, Heated Front Seats, Power Liftgate          "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023MercedesGLC-Class,Mercedes,GLC-Class,2023, SUV       ," White, Black, Silver          ", Gasoline  ," ABS, Airbags, Active Brake Assist, Lane Keeping Assist       ", 10.25-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Power Liftgate          "," LED Headlights, Roof Rails, 19-inch Alloy Wheels           "
2023JeepGrand Cherokee,Jeep,Grand Cherokee,2023, SUV    ," Gray, Red, Blue              ", Gasoline  ," ABS, Airbags, Blind Spot Monitoring, Rear Cross Path Detection ", 8.4-inch Uconnect Infotainment     ," Leather Seats, Heated Front Seats, Power Liftgate          "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023VolkswagenTaos,Volkswagen,Taos,2023, SUV      ," Silver, Blue, Black           ", Gasoline  ," ABS, Airbags, Lane Keeping System, Rear Traffic Alert         ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Wireless Smartphone Charger   "," LED Headlights, 17-inch Alloy Wheels                       "
2023NissanPathfinder,Nissan,Pathfinder,2023, SUV       ," Blue, White, Black            ", Gasoline  ," ABS, Airbags, Rear Automatic Braking, Rear Cross Traffic Alert ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Tri-Zone Automatic Climate Control "," LED Headlights, Roof Rails, 18-inch Alloy Wheels          "
2023SubaruCrosstrek,Subaru,Crosstrek,2023, SUV       ," Orange, Black, White          ", Gasoline  ," ABS, Airbags, EyeSight Driver Assist, Rear Vision Camera     ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Access, Power Sunroof                "," LED Daytime Running Lights, Roof Rails, 17-inch Alloy Wheels "
2023Toyota4Runner,Toyota,4Runner,2023, SUV       ," Black, White, Silver          ", Gasoline  ," ABS, Airbags, Hill Start Assist Control, Trailer-Sway Control ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Rear Window              "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          "
2023FordEdge,Ford,Edge,2023, SUV       ," White, Gray, Blue             ", Gasoline  ," ABS, Airbags, Ford Co-Pilot360, Lane-Keeping System         ", 12-inch SYNC 4 Infotainment System  ," Cloth Seats, Power Windows, Dual-Zone Climate Control      "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023ChevroletEquinox,Chevrolet,Equinox,2023, SUV       ," Black, Red, Silver            ", Gasoline  ," ABS, Airbags, Lane Keep Assist, Forward Collision Alert      ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023HondaHR-V,Honda,HR-V,2023, SUV       ," Green, White, Gray            ", Gasoline  ," ABS, Airbags, Collision Mitigation Braking System, Lane Keeping Assist ", 7-inch Display Audio System       ," Cloth Seats, Power Mirrors, Keyless Entry                "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023MercedesS-Class,Mercedes,S-Class,2023, Sedan     ," Black, Silver, White          ", Gasoline  ," ABS, Airbags, Active Distance Assist, Traffic Sign Assist    ", 12.8-inch OLED Infotainment Screen ," Leather Seats, Heated and Ventilated Front Seats, Power Rear Window "," LED Headlights, Panoramic Sunroof, 20-inch Alloy Wheels "
2023JeepCompass,Jeep,Compass,2023, SUV       ," Red, White, Black            ", Gasoline  ," ABS, Airbags, Hill Start Assist, ParkView Rear Back-Up Camera ", 8.4-inch Uconnect Infotainment     ," Cloth Seats, Keyless Entry, Dual-Zone Automatic Climate Control "," LED Headlights, Roof Rails, 18-inch Alloy Wheels         "
2023VolkswagenAtlas,Volkswagen,Atlas,2023, SUV       ," Silver, Blue, White           ", Gasoline  ," ABS, Airbags, Lane Assist, Rear Traffic Alert                ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Keyless Entry                 "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023NissanSentra,Nissan,Sentra,2023, Sedan     ," Red, Black, Blue              ", Gasoline  ," ABS, Airbags, Intelligent Forward Collision Warning          ", 7-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023SubaruLegacy,Subaru,Legacy,2023, Sedan     ," Gray, Blue, Black             ", Gasoline  ," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 11.6-inch Touchscreen Display    ," Cloth Seats, Power Driver's Seat, Keyless Access         "," LED Headlights, Alloy Wheels, Power Sunroof              "
2023LexusRX,Lexus,RX,2023, SUV       ," White, Silver, Black          ", Gasoline  ," ABS, Airbags, Lexus Safety System+ 2.5, Rear Cross-Traffic Alert ", 8-inch Touchscreen Display        ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 18-inch Alloy Wheels         "
2023BMW5 Series,BMW,5 Series,2023, Sedan     ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Active Driving Assistant, Parking Assistant Plus ", 12.3-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Power Tailgate         "," LED Headlights, Alloy Wheels, Power Sunroof              "
2023MazdaMazda6,Mazda,Mazda6,2023, Sedan     ," White, Black, Gray            ", Gasoline  ," ABS, Airbags, Blind Spot Monitoring, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Leather Seats, Power Driver's Seat, Keyless Entry        "," LED Headlights, Alloy Wheels, Power Sunroof              "
2023ToyotaTacoma,Toyota,Tacoma,2023, Truck     ," Red, Black, Silver            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense P, Rear Parking Assist Sonar ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Taillights, Deck Rail System, 16-inch Alloy Wheels   "
2023AudiQ7,Audi,Q7,2023, SUV       ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Audi Pre Sense Front, Audi Side Assist         ", 10.1-inch MMI Touchscreen Display ," Leather Seats, Heated Front Seats, Power Tailgate         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         "
2023FordBronco,Ford,Bronco,2023, SUV       ," Blue, Black, Gray             ", Gasoline  ," ABS, Airbags, AdvanceTrac with RSC, Trail Control            ", 8-inch SYNC 4A Infotainment System ," Cloth Seats, Keyless Entry, Power Front Windows           "," LED Headlights, Removable Top, 17-inch Alloy Wheels      "
2023HondaOdyssey,Honda,Odyssey,2023, Minivan   ," Gray, White, Silver           ", Gasoline  ," ABS, Airbags, Honda Sensing, Rear Cross Traffic Monitor       ", 8-inch Display Audio System       ," Cloth Seats, Power Front Seats, Keyless Entry            "," LED Headlights, Power Sliding Doors, 18-inch Alloy Wheels "
2023KiaSportage,Kia,Sportage,2023, SUV       ," Black, Silver, Red            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023GMCAcadia,GMC,Acadia,2023, SUV       ," Red, Black, White             ", Gasoline  ," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023LexusNX,Lexus,NX,2023, SUV       ," Silver, Black, Blue           ", Gasoline  ," ABS, Airbags, Lexus Safety System+ 3.5, Rear Cross-Traffic Alert ", 8-inch Touchscreen Display        ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 18-inch Alloy Wheels         "
2023FordMustang,Ford,Mustang,2023, Coupe     ," Red, Black, Blue              ", Gasoline  ," ABS, Airbags, AdvanceTrac Electronic Stability Control       ", 12-inch Digital Instrument Cluster ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        "
2023ToyotaSienna,Toyota,Sienna,2023, Minivan   ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Parking Assist Sonar ", 9-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Daytime Running Lights, Dual Power Sliding Doors, 17-inch Alloy Wheels "
2023HondaCivic,Honda,Civic,2023, Sedan     ," Red, Black, Silver            ", Gasoline  ," ABS, Airbags, Collision Mitigation Braking System, Lane Keeping Assist ", 7-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023SubaruAscent,Subaru,Ascent,2023, SUV       ," Blue, Black, White            ", Gasoline  ," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 6.5-inch Multimedia Plus Display  ," Cloth Seats, Keyless Entry, Three-Zone Automatic Climate Control "," LED Headlights, Roof Rails, 18-inch Alloy Wheels         "
2023NissanVersa,Nissan,Versa,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Automatic Emergency Braking, Lane Departure Warning ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023ChevroletTrax,Chevrolet,Trax,2023, SUV       ," Silver, Red, Black            ", Gasoline  ," ABS, Airbags, StabiliTrak Electronic Stability Control, Rear Vision Camera ", 7-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023HyundaiSonata,Hyundai,Sonata,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, 16-inch Alloy Wheels                      "
2023LexusIS,Lexus,IS,2023, Sedan     ," Silver, Black, White          ", Gasoline  ," ABS, Airbags, Lexus Safety System+ 3.5, Rear Cross-Traffic Alert ", 8-inch Touchscreen Display        ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, 18-inch Alloy Wheels                      "
2023FordRanger,Ford,Ranger,2023, Truck     ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, AdvanceTrac with Roll Stability Control         ", 8-inch SYNC 3 Infotainment System ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 16-inch Alloy Wheels            "
2023ToyotaTundra,Toyota,Tundra,2023, Truck     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense P, Rear Parking Assist Sonar ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, Bedliner, 18-inch Alloy Wheels            "
2023KiaCarnival,Kia,Carnival,2023, Minivan   ," Gray, Black, White            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Dual Power Sliding Doors, 19-inch Alloy Wheels "
2023SubaruOutback,Subaru,Outback,2023, SUV       ," Blue, Black, Silver           ", Gasoline  ," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 11.6-inch Touchscreen Display    ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Roof Rails, 18-inch Alloy Wheels         "
2023NissanFrontier,Nissan,Frontier,2023, Truck     ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Nissan Safety Shield 360, RearView Monitor      ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, Bedliner, 17-inch Alloy Wheels            "
2023HyundaiVenue,Hyundai,Venue,2023, SUV       ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023GenesisGV80,Genesis,GV80,2023, SUV       ," Gray, White, Black            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         "
2023ChevroletCamaro,Chevrolet,Camaro,2023, Coupe     ," Red, Black, White             ", Gasoline  ," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        "
2023HondaFit,Honda,Fit,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023FordMaverick,Ford,Maverick,2023, Truck     ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            "
2023ToyotaCamry,Toyota,Camry,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              "
