CarKey, Car Make , Car Model   , Year , Body Type , Color Options                 , Fuel Type , Safety Features                                      , Entertainment Features               , Interior Features                                , Exterior Features                                           
2023KiaSoul,Kia,Soul,2023, Hatchback ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023ChevroletCorvette,Chevrolet,Corvette,2023, Convertible ," Red, Black, White          ", Gasoline  ," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         "
2023FordExplorer,Ford,Explorer,2023, SUV       ," Blue, White, Silver           ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023GMCAcadia,GMC,Acadia,2023, SUV       ," Red, Black, White             ", Gasoline  ," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023HyundaiVenue,Hyundai,Venue,2023, SUV       ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023GenesisGV80,Genesis,GV80,2023, SUV       ," Gray, White, Black            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         "
2023ChevroletCamaro,Chevrolet,Camaro,2023, Coupe     ," Red, Black, White             ", Gasoline  ," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        "
2023HondaFit,Honda,Fit,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023FordMaverick,Ford,Maverick,2023, Truck     ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            "
2023ToyotaCamry,Toyota,Camry,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              "
2023KiaSoul,Kia,Soul,2023, Hatchback ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023ChevroletCorvette,Chevrolet,Corvette,2023, Convertible ," Red, Black, White          ", Gasoline  ," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         "
2023FordExplorer,Ford,Explorer,2023, SUV       ," Blue, White, Silver           ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023GMCAcadia,GMC,Acadia,2023, SUV       ," Red, Black, White             ", Gasoline  ," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023HyundaiVenue,Hyundai,Venue,2023, SUV       ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023GenesisGV80,Genesis,GV80,2023, SUV       ," Gray, White, Black            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         "
2023ChevroletCamaro,Chevrolet,Camaro,2023, Coupe     ," Red, Black, White             ", Gasoline  ," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        "
2023HondaFit,Honda,Fit,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023FordMaverick,Ford,Maverick,2023, Truck     ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            "
2023ToyotaCamry,Toyota,Camry,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              "
2023KiaSoul,Kia,Soul,2023, Hatchback ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023ChevroletCorvette,Chevrolet,Corvette,2023, Convertible ," Red, Black, White          ", Gasoline  ," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         "
2023FordExplorer,Ford,Explorer,2023, SUV       ," Blue, White, Silver           ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023GMCAcadia,GMC,Acadia,2023, SUV       ," Red, Black, White             ", Gasoline  ," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023HyundaiVenue,Hyundai,Venue,2023, SUV       ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023GenesisGV80,Genesis,GV80,2023, SUV       ," Gray, White, Black            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         "
2023ChevroletCamaro,Chevrolet,Camaro,2023, Coupe     ," Red, Black, White             ", Gasoline  ," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        "
2023HondaFit,Honda,Fit,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023FordMaverick,Ford,Maverick,2023, Truck     ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            "
2023ToyotaCamry,Toyota,Camry,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              "
2023KiaSoul,Kia,Soul,2023, Hatchback ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023ChevroletCorvette,Chevrolet,Corvette,2023, Convertible ," Red, Black, White          ", Gasoline  ," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         "
2023FordExplorer,Ford,Explorer,2023, SUV       ," Blue, White, Silver           ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023GMCAcadia,GMC,Acadia,2023, SUV       ," Red, Black, White             ", Gasoline  ," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023HyundaiVenue,Hyundai,Venue,2023, SUV       ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023GenesisGV80,Genesis,GV80,2023, SUV       ," Gray, White, Black            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         "
2023ChevroletCamaro,Chevrolet,Camaro,2023, Coupe     ," Red, Black, White             ", Gasoline  ," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        "
2023HondaFit,Honda,Fit,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023FordMaverick,Ford,Maverick,2023, Truck     ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            "
2023ToyotaCamry,Toyota,Camry,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              "
2023KiaSoul,Kia,Soul,2023, Hatchback ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023ChevroletCorvette,Chevrolet,Corvette,2023, Convertible ," Red, Black, White          ", Gasoline  ," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         "
2023FordExplorer,Ford,Explorer,2023, SUV       ," Blue, White, Silver           ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023GMCAcadia,GMC,Acadia,2023, SUV       ," Red, Black, White             ", Gasoline  ," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023HyundaiVenue,Hyundai,Venue,2023, SUV       ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023GenesisGV80,Genesis,GV80,2023, SUV       ," Gray, White, Black            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         "
2023ChevroletCamaro,Chevrolet,Camaro,2023, Coupe     ," Red, Black, White             ", Gasoline  ," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        "
2023HondaFit,Honda,Fit,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          "
2023FordMaverick,Ford,Maverick,2023, Truck     ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            "
2023ToyotaCamry,Toyota,Camry,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              "
2023KiaSoul,Kia,Soul,2023, Hatchback ," Black, Gray, White            ", Gasoline  ," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023ChevroletCorvette,Chevrolet,Corvette,2023, Convertible ," Red, Black, White          ", Gasoline  ," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         "
2023FordExplorer,Ford,Explorer,2023, SUV       ," Blue, White, Silver           ", Gasoline  ," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           "
2023JeepWrangler,Jeep,Wrangler,2023, SUV       ," Red, Black, Gray              ", Gasoline  ," ABS, Airbags, Electronic Stability Control, ParkView Rear Back-Up Camera ", 8.4-inch Uconnect Touchscreen      ," Cloth Seats, Keyless Entry, Removable Doors               "," LED Headlights, Off-Road Suspension, 17-inch Alloy Wheels "
2023AudiA5,Audi,A5,2023, Coupe     ," Blue, White, Black            ", Gasoline  ," ABS, Airbags, Audi Pre Sense Basic, Audi Pre Sense City      ", 10.1-inch MMI Touch Display       ," Leather Seats, Keyless Entry, Sunroof                    "," LED Headlights, 18-inch Alloy Wheels                     "
2023SubaruOutback,Subaru,Outback,2023, Wagon     ," Silver, Green, Black          ", Gasoline  ," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 11.6-inch STARLINK Display        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           "
2023BMWX5,BMW,X5,2023, SUV       ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Dynamic Stability Control, Rear View Camera   ", 12.3-inch Central Display        ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 20-inch Alloy Wheels                      "
2023NissanRogue Sport,Nissan,Rogue Sport,2023, SUV       ," Blue, White, Gray             ", Gasoline  ," ABS, Airbags, Intelligent Forward Collision Warning, RearView Monitor ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          "
2023VolvoXC40,Volvo,XC40,2023, SUV       ," Black, White, Silver          ", Gasoline  ," ABS, Airbags, City Safety Collision Avoidance Technology    ", 9-inch Sensus Touchscreen         ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 18-inch Alloy Wheels                     "
2023MazdaMX-5 Miata,Mazda,MX-5 Miata,2023, Convertible ," Red, Black, White          ", Gasoline  ," ABS, Airbags, Rearview Camera, Blind Spot Monitoring        ", 7-inch MAZDA CONNECT Display     ," Leather Seats, Keyless Entry, Bose Audio System           "," LED Headlights, 17-inch Alloy Wheels                     "
2023LexusES,Lexus,ES,2023, Sedan     ," White, Black, Gray            ", Gasoline  ," ABS, Airbags, Lexus Safety System+ 3.0, Backup Camera       ", 8-inch Lexus Multimedia System   ," Leather Seats, Keyless Entry, Sunroof                    "," LED Headlights, 18-inch Alloy Wheels                     "
2023SubaruForester,Subaru,Forester,2023, SUV       ," Blue, Black, Gray             ", Gasoline  ," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 8.0-inch STARLINK Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, Roof Rails, 17-inch Alloy Wheels           "
2023AudiQ5,Audi,Q5,2023, SUV       ," Black, White, Gray            ", Gasoline  ," ABS, Airbags, Audi Pre Sense Basic, Audi Pre Sense City      ", 10.1-inch MMI Touch Display       ," Leather Seats, Keyless Entry, Panoramic Sunroof          "," LED Headlights, 18-inch Alloy Wheels                     "
2023HyundaiSanta Fe,Hyundai,Santa Fe,2023, SUV       ," Blue, White, Black            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist with Pedestrian Detection ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Rear Occupant Alert          "," LED Headlights, 18-inch Alloy Wheels                     "
2023AcuraRDX,Acura,RDX,2023, SUV       ," Black, White, Gray            ", Gasoline  ," ABS, Airbags, AcuraWatch, Multi-View Rear Camera           ", 10.2-inch True Touchpad Interface ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 19-inch Alloy Wheels                     "
2023MazdaMazda6,Mazda,Mazda6,2023, Sedan     ," White, Red, Gray              ", Gasoline  ," ABS, Airbags, Mazda Connected Services, Rearview Camera    ", 8-inch MAZDA CONNECT Display     ," Cloth Seats, Keyless Entry, Dual-Zone Climate Control     "," LED Headlights, 17-inch Alloy Wheels                     "
2023LexusRX,Lexus,RX,2023, SUV       ," White, Black, Gray            ", Gasoline  ," ABS, Airbags, Lexus Safety System+ 3.0, Rear View Camera    ", 8-inch Lexus Multimedia System   ," Leather Seats, Keyless Entry, Power Liftgate              "," LED Headlights, 18-inch Alloy Wheels                     "
2023KiaSportage,Kia,Sportage,2023, SUV       ," Blue, White, Black            ", Gasoline  ," ABS, Airbags, Forward Collision-Avoidance Assist, Rear View Camera ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Lane Keeping Assist          "," LED Headlights, 18-inch Alloy Wheels                     "
2023BMW5 Series,BMW,5 Series,2023, Sedan     ," White, Black, Gray            ", Gasoline  ," ABS, Airbags, Active Driving Assistant, Rear View Camera   ", 12.3-inch Central Display        ," Leather Seats, Keyless Entry, Sunroof                    "," LED Headlights, 18-inch Alloy Wheels                     "
2023FordEscape,Ford,Escape,2023, SUV       ," Blue, White, Black            ", Gasoline  ," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, 18-inch Alloy Wheels                     "
2023InfinitiQX50,Infiniti,QX50,2023, SUV       ," Blue, Black, White            ", Gasoline  ," ABS, Airbags, Predictive Forward Collision Warning, Rear View Monitor ", 8-inch Dual Display System        ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 20-inch Alloy Wheels                     "
2023NissanPathfinder,Nissan,Pathfinder,2023, SUV       ," Black, White, Gray            ", Gasoline  ," ABS, Airbags, Intelligent Forward Collision Warning, RearView Monitor ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Tri-Zone Climate Control      "," LED Headlights, 18-inch Alloy Wheels                     "
2023VolvoXC60,Volvo,XC60,2023, SUV       ," Black, White, Silver          ", Gasoline  ," ABS, Airbags, City Safety Collision Avoidance Technology    ", 9-inch Sensus Touchscreen         ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 19-inch Alloy Wheels                     "
2023SubaruLegacy,Subaru,Legacy,2023, Sedan     ," Blue, White, Gray             ", Gasoline  ," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 11.6-inch STARLINK Display        ," Cloth Seats, Keyless Entry, Dual-Zone Climate Control     "," LED Headlights, 17-inch Alloy Wheels                     "
2023AcuraMDX,Acura,MDX,2023, SUV       ," Black, White, Gray            ", Gasoline  ," ABS, Airbags, AcuraWatch, Multi-View Rear Camera           ", 12.3-inch True Touchpad Interface ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 20-inch Alloy Wheels                     "
2023MazdaCX-5,Mazda,CX-5,2023, SUV       ," Blue, White, Gray             ", Gasoline  ," ABS, Airbags, Mazda Connected Services",,,
